url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,kitchen_surface,water_softener,bathrooms,low_energy,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,rain_water_tank,primary_energy_consumption,co2,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,availability,wash_room,parking_places_indoor,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,diningrooms,frontage_width,terrain_width_roadside,g_score,p_score,cadastral_income,vat,maintenance_cost,property_subtype,postal_code,locality,property_type
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd41438,vbd41438,175000.0,2.0,71.0,Normal,2.0,0.0,1.0,0.0,0.0,Fully equipped,1967.0,1.0,1.0,Western kitchen,8.0,,1.0,,,Fuel oil,,,,,,,15.0,,,1.0,1.0,,206.0,,"yes, certificate in accordance",,,,no flooding area,(information not available),,,,,,1.0,20.0,,Double glass,1.0,1.0,,0.0,12.0,,13.0,1.0,,,,,,1013.0,No,290.0,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/duplex/for-sale/1400/nivelles/vbd39469,vbd39469,400207.0,3.0,152.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(information not available),(information not available),,,Immediately,,,,,,,,,,,0.0,,,,,,,,,,No,,duplex,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/5520/onhaye/vbd45230,vbd45230,179000.0,2.0,93.0,,,0.0,1.0,0.0,0.0,Partially equipped,1920.0,,,Kitchenette,11.0,,1.0,,,,,,,,,,12.0,,,1.0,1.0,,210.0,60.0,,,,,(information not available),(information not available),,,,,,,25.0,,Double glass,0.0,,,0.0,,,,1.0,,10.0,10.0,,,1647.0,No,,apartment,5520,onhaye,Apartment
https://immovlan.be/en/detail/duplex/for-sale/9051/sint-denijs-westrem/rbu70511,rbu70511,410000.0,2.0,150.0,Normal,4.0,0.0,1.0,0.0,0.0,Super equipped,2004.0,1.0,1.0,,,,2.0,,,Gas,,,,,,,20.0,0.0,,1.0,1.0,,100.0,3135.0,"yes, certificate in accordance",,0.0,1.0,no flooding area,(information not available),,,Immediately,,,1.0,,,Double glass,1.0,1.0,,0.0,2.0,,2.0,2.0,,28.0,28.0,A,A,1740.0,No,163.0,duplex,9051,sint-denijs-westrem,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd39624,vbd39624,418471.0,2.0,109.0,New,,0.0,1.0,1.0,,,2023.0,,,Independent,,,1.0,,,Gas,,,,,225.0,,48.0,,,,,,84.0,,"yes, certificate in accordance",,,,(information not available),(information not available),,,Immediately,,,,,,,1.0,,,1.0,0.0,,3.0,1.0,,,,,,,,,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd39072,vbd39072,219900.0,2.0,83.0,,,0.0,1.0,0.0,0.0,Fully equipped,1966.0,1.0,,Western kitchen,6.0,,1.0,,,Fuel oil,,,,,,,15.0,,,1.0,1.0,,503.0,125.0,,,,,no flooding area,(information not available),,,,,,,33.0,,Double glass,1.0,1.0,,0.0,,,,1.0,,,,,,,No,,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd40589,vbd40589,189000.0,1.0,50.0,Normal,3.0,0.0,1.0,1.0,,,,,,,,,1.0,,,Gas,,,,,28.0,,56.0,,,,,,250.0,,"yes, certificate in accordance",,,,(information not available),(information not available),,,,,,0.0,22.0,,,0.0,,,,,,,1.0,,,,,,575.0,No,,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/duplex/for-sale/1400/nivelles/vbd39625,vbd39625,400207.0,3.0,142.0,New,2.0,0.0,1.0,1.0,,,2023.0,,,Independent,,,2.0,,,Gas,,,,,118.0,,16.0,,,1.0,1.0,,70.0,,"yes, certificate in accordance",,,,(information not available),(information not available),,,Immediately,,,,35.0,,Double glass,0.0,,1.0,1.0,0.0,,1.0,2.0,,,,,,,,,duplex,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/1400/nivelles/vbd39467,vbd39467,418471.0,2.0,109.0,New,,0.0,1.0,1.0,,,2023.0,,,Independent,,,1.0,,,Gas,,,,,225.0,,48.0,,,,,,84.0,,"yes, certificate in accordance",,,,(information not available),(information not available),,,Immediately,,,,,,,1.0,,,1.0,0.0,,3.0,1.0,,,,,,,,,apartment,1400,nivelles,Apartment
https://immovlan.be/en/detail/apartment/for-sale/5520/onhaye/vbd17662,vbd17662,159000.0,2.0,84.0,To renovate,2.0,0.0,0.0,0.0,0.0,,1920.0,,,,7.0,,1.0,,,,,,,,,,,,,1.0,1.0,,180.0,51.0,"yes, certificate in accordance",,,,(information not available),(information not available),,,,,,1.0,33.0,,Double glass,0.0,,,0.0,,,1.0,2.0,,10.0,10.0,,,1647.0,No,,apartment,5520,onhaye,Apartment
